"row ID","Mathematik","3","M","BRank_Gesamt","BRank_Arbeitsmarkt","BRank_Bevoelkerung","BRank_Erreichbarkeit","BRank_Sicherheit","BRank_Steuerbelastung","BRank_Versorgung","BRank_Wohnen","Landessprache"
"L-113829-KSSEE_Row22",3.5,4.666666666666667,4.40625,2,3,1,4,1,1,5,1,4.0
"L-114407-KSSEE_Row38",4.5,4.5,4.25,2,1,2,5,1,3,1,3,4.0
"L-114409-KSSEE_Row21",4.0,4.083333333333333,4.34375,3,3,3,3,3,3,3,3,3.5
"L-114412-KSSEE_Row39",4.5,4.625,4.933333333333334,3,1,3,4,1,3,2,4,4.5
"L-114414-KSSEE_Row39",5.0,4.625,5.03125,3,1,3,4,1,3,2,4,4.0
"L-114416-KSSEE_Row38",5.0,4.916666666666667,4.625,2,1,2,5,1,3,1,3,4.5
"L-114419-KSSEE_Row38",4.0,4.541666666666667,4.4,2,1,2,5,1,3,1,3,4.5
"L-114422-KSSEE_Row21",5.0,4.708333333333333,4.5625,3,3,3,3,3,3,3,3,5.0
"L-114424-KSSEE_Row39",4.0,4.458333333333333,4.34375,3,1,3,4,1,3,2,4,3.5
"L-114426-KSSEE_Row38",5.5,5.083333333333333,4.8125,2,1,2,5,1,3,1,3,4.5
"L-114428-KSSEE_Row39",5.0,4.75,4.46875,3,1,3,4,1,3,2,4,4.5
"L-114429-KSSEE_Row21",5.0,5.125,5.09375,3,3,3,3,3,3,3,3,5.0
"L-114434-KSSEE_Row39",4.5,4.375,4.1875,3,1,3,4,1,3,2,4,4.5
"L-114436-KSSEE_Row22",3.0,4.125,4.28125,2,3,1,4,1,1,5,1,4.0
"L-114438-KSSEE_Row38",3.5,4.583333333333333,4.65625,2,1,2,5,1,3,1,3,5.0
"L-114441-KSSEE_Row40",5.5,5.333333333333333,4.71875,4,4,2,5,1,3,5,3,5.5
"L-114444-KSSEE_Row38",3.5,4.666666666666667,4.59375,2,1,2,5,1,3,1,3,5.5
"L-114446-KSSEE_Row22",4.5,4.541666666666667,4.25,2,3,1,4,1,1,5,1,4.5
"L-114447-KSSEE_Row22",3.5,4.416666666666667,4.25,2,3,1,4,1,1,5,1,4.0
"L-114450-KSSEE_Row22",3.5,4.5,4.375,2,3,1,4,1,1,5,1,4.5
"L-114452-KSSEE_Row40",3.5,4.375,4.03125,4,4,2,5,1,3,5,3,4.5
"L-114454-KSSEE_Row22",5.5,5.125,4.8125,2,3,1,4,1,1,5,1,5.5
"L-114459-KSSEE_Row40",3.0,4.041666666666667,4.433333333333334,4,4,2,5,1,3,5,3,4.0
"L-114460-KSSEE_Row22",4.5,4.708333333333333,4.5,2,3,1,4,1,1,5,1,5.0
"L-114463-KSSEE_Row22",4.5,4.875,4.46875,2,3,1,4,1,1,5,1,4.5
"L-114464-KSSEE_Row40",4.5,4.458333333333333,4.266666666666667,4,4,2,5,1,3,5,3,4.0
"L-114465-KSSEE_Row22",5.5,4.833333333333333,4.6,2,3,1,4,1,1,5,1,5.0
"L-114466-KSSEE_Row38",5.0,4.75,4.366666666666666,2,1,2,5,1,3,1,3,5.0
"L-114469-KSSEE_Row40",4.5,5.0,4.78125,4,4,2,5,1,3,5,3,5.5
"L-114471-KSSEE_Row38",4.5,4.541666666666667,4.3125,2,1,2,5,1,3,1,3,4.5
"L-114473-KSSEE_Row22",6.0,5.375,5.4375,2,3,1,4,1,1,5,1,5.5
"L-114474-KSSEE_Row39",3.5,4.208333333333333,4.40625,3,1,3,4,1,3,2,4,4.0
"L-114477-KSSEE_Row5",4.5,4.375,4.25,3,3,3,3,3,3,3,3,4.5
"L-114480-KSSEE_Row38",4.0,4.416666666666667,4.3,2,1,2,5,1,3,1,3,4.0
"L-114481-KSSEE_Row40",3.5,4.375,4.466666666666667,4,4,2,5,1,3,5,3,4.0
"L-114483-KSSEE_Row67",5.0,4.708333333333333,4.46875,3,3,3,3,3,3,3,3,4.5
"L-114487-KSSEE_Row43",5.0,4.875,4.75,3,3,2,4,1,2,4,4,4.5
"L-114488-KSSEE_Row39",4.5,4.833333333333333,4.90625,3,1,3,4,1,3,2,4,5.0
"L-114491-KSSEE_Row43",5.5,5.083333333333333,4.96875,3,3,2,4,1,2,4,4,5.5
"L-114494-KSSEE_Row39",5.5,4.958333333333333,5.15625,3,1,3,4,1,3,2,4,5.5
"L-114497-KSSEE_Row1",3.5,4.375,4.333333333333333,3,3,3,3,3,3,3,3,4.0
